NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
6558062,TIM,Rodovia BR-101 S/N ,RN,2404200,Goianinha,06S1827,35W1144,SIM,SIM,SIM,
6558283,TIM,Rua Edgar Dantas 80 -,RN,2403251,Parnamirim,05S5505,35W1542,SIM,SIM,SIM,SIM
659111586,TIM,Rua Padre Benedito Alves S/NCentro S/N -,RN,2401008,Apodi,05S3945,37W4754,SIM,SIM,SIM,
665596235,VIVO,RUA FLORESTAL 27 ,RN,2408102,Natal,05S4725,35W1129,SIM,SIM,SIM,
665596820,VIVO,AV. DR. JULIANO MOREIRA S/N ,RN,2408102,Natal,05S4358,35W1443,SIM,SIM,SIM,
665596901,VIVO, RUA GENAR WANDERLEY - nº S/N S/N ,RN,2408102,Natal,05S4854,35W1334,SIM,SIM,SIM,
665596960,VIVO,RUA INDUSTRIAL JOAO MOTTA S/N ,RN,2408102,Natal,05S5142,35W1148,SIM,SIM,SIM,
665597002,VIVO,RUA RIO AÇU S/N ,RN,2403251,Parnamirim,05S5318,35W1453,SIM,SIM,,
665597029,VIVO,RUA SERRA DO ARAGUAIA 1129 ,RN,2408102,Natal,05S4515,35W1448,SIM,SIM,SIM,
665597045,VIVO,RUA EDGAR DANTAS 80 ,RN,2403251,Parnamirim,05S5505,35W1542,SIM,SIM,SIM,
665597100,VIVO,RUA DOUTOR MÁRIO NEGÓCIO S/N ,RN,2408102,Natal,05S4758,35W1417,SIM,SIM,SIM,
665597142,VIVO,RUA DOUTOR JOAO MEDEIROS S/N ,RN,2408102,Natal,05S4623,35W1515,SIM,SIM,SIM,
665597207,VIVO,AVENIDA DAS LAGOAS S/N LOTEAMENTO MONTE BELLO - LOTE 10 QUADRA 02,RN,2408102,Natal,05S5150,35W1241,SIM,SIM,SIM,
665597258,VIVO, RUA APOLONIO DE SOUZA - LOTE 11 QUADRA A - nº S/N S/N ,RN,2408102,Natal,05S4953,35W1217,SIM,SIM,SIM,
665597312,VIVO, RUA EUGENOPOLIS - CONJUNTO PIRANGI - nº 4814 4814 ,RN,2408102,Natal,05S5226,35W1216,SIM,SIM,SIM,
665597355,VIVO,RUA ENGENHEIRO NELSON BAHIA S/N LOTE 05 QUADRA 13,RN,2408102,Natal,05S5039,35W1206,SIM,SIM,SIM,
665597410,VIVO,RUA CAPITÃO MANUEL CAVALCANTE DE ALBUQUERQUE S/N ,RN,2408102,Natal,05S4832,35W1234,SIM,SIM,SIM,
665597495,VIVO,AVENIDA DOS XAVANTES 360 ,RN,2408102,Natal,05S5106,35W1435,SIM,SIM,SIM,
665597541,VIVO,R. DOS MANACAS 2 ,RN,2408102,Natal,05S5031,35W1233,SIM,SIM,SIM,
665598017,VIVO,RUA CAPITÃO AVIADOR HERALDO CUNHA DE MARTINHO S/N ,RN,2403251,Parnamirim,05S5322,35W1202,SIM,SIM,,
665598041,VIVO,RUA SANTA VERONICA 26 ,RN,2408102,Natal,05S4941,35W1444,SIM,SIM,SIM,
665598165,VIVO,RUA BAHIA S/N ,RN,2403251,Parnamirim,05S5510,35W1633,SIM,SIM,,
665599188,VIVO,RUA ITAJA S/N ,RN,2403251,Parnamirim,05S5250,35W1238,SIM,SIM,SIM,
665599250,VIVO,RODOVIA BR-101 S/N ,RN,2403251,Parnamirim,05S5639,35W1554,SIM,SIM,,
